counter,name,image,character_gender,character_major_or_minor,character_type,diagnosis,cause_of_death,treatment,actor,single_or_multiple_episodes,season_episode_code,first_episode_title_underscore,first_episode_title_text,last_episode_title_underscore,last_episode_title_text,seasons_array
112,Mary Portman,mostly_female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/f/f2/7x06-8.png/revision/latest/scale-to-width-down/334?cb=20130421190008,patient,['Coma'],[],"['Colostomy bag', 'Colostomy bag reversal surgery']",Mandy Moore,multiple,"['S-6-EP-23', 'S-6-EP-24', 'S-7-EP-6', 'S-7-EP-7', 'S-7-EP-7']",Sanctuary,Sanctuary,That%27s_Me_Trying,That's Me Trying,"['6', '7']"
113,Gladys Pulcher,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/1/17/7x19GladysPulcher.png/revision/latest/scale-to-width-down/350?cb=20130712081832,patient,"['Lung cancer', 'Post-op infection', 'Bed sores']",[],['Surgery'],Doris Roberts,single,['S-7-EP-19'],It%27s_a_Long_Way_Back,It's a Long Way Back,It%27s_a_Long_Way_Back,It's a Long Way Back,['7']
114,Nikki Ratlin,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/c/c5/221Nikki.png/revision/latest/scale-to-width-down/350?cb=20130413035751,patient,"['Broken leg', 'Splenic laceration']",[],['Casting'],Michaela Watkins,single,['S-2-EP-21'],Superstition,Superstition,Superstition,Superstition,['2']
115,Marjorie Reed,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/b/b9/11x02MarjorieReed.png/revision/latest/scale-to-width-down/350?cb=20141006171056,patient,['Stage IV small-cell lung cancer'],[],['No treatment available'],Eileen Ryan,single,['S-11-EP-2'],Puzzle_With_a_Piece_Missing,Puzzle With a Piece Missing,Puzzle_With_a_Piece_Missing,Puzzle With a Piece Missing,['11']
116,Robbie Reeves,andy,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/b/bb/13x06RobbieReeves.png/revision/latest/scale-to-width-down/350?cb=20161028053025,patient,"['Scalp laceration', 'Congenital AVM', 'Brain bleed']",[],"['Stitches', 'Surgery']",Micah Nelson,single,['S-13-EP-6'],Roar,Roar,Roar,Roar,['13']
118,Melanie Reynolds,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/0/04/224MelanieReynolds.png/revision/latest/scale-to-width-down/350?cb=20130413154102,patient,['Catastrophic internal injuries'],[],"['Splenectomy', 'Lung resection', 'Surgery']",Sarah LaFleur,single,['S-2-EP-24'],Damage_Case,Damage Case,Damage_Case,Damage Case,['2']
119,Oliver Richter,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/e/e9/7x15OliverRichter.png/revision/latest/scale-to-width-down/350?cb=20130828202459,patient,['Aortic dissection'],[],['Surgery'],Dondré T. Whitfield,single,['S-7-EP-15'],Golden_Hour,Golden Hour,Golden_Hour,Golden Hour,['7']
120,Phillip Robinson,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/3/34/4x13-56.jpg/revision/latest/scale-to-width-down/350?cb=20171015082524,patient,"['Hand injury', 'Malignant glioma']",[],"['Splinting', 'Antibiotics']",Jason O'Mara,multiple,['S-4-EP-13'],Where_the_Wild_Things_Are,Where the Wild Things Are,Piece_of_My_Heart,Piece of My Heart,['4']
121,Scott Robinson,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/3/33/412ScottRobinson.png/revision/latest/scale-to-width-down/350?cb=20130428230925,patient,"['Bowel evisceration', 'Mauling injuries']",[],"['Surgery', 'Stitches']",Steven Flynn,single,['S-4-EP-12'],Where_the_Wild_Things_Are,Where the Wild Things Are,Where_the_Wild_Things_Are,Where the Wild Things Are,['4']
122,Cathy Rogerson,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/0/09/319CathyRogerson.png/revision/latest/scale-to-width-down/350?cb=20130421155100,patient,"['Fibrodysplasia ossificans progressiva', 'Internal bleeding']",[],"['Anti-inflammatory meds', 'Surgery']",Catherine Dent,single,['S-3-EP-19'],My_Favorite_Mistake,My Favorite Mistake,My_Favorite_Mistake,My Favorite Mistake,['3']
123,Emily Russell,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/e/e3/2x11EmilyRussell.png/revision/latest/scale-to-width-down/350?cb=20160423171032,patient,"['Hypoplastic left heart syndrome', 'Prematurity', 'Restricted atrial septum']","['<h3><span class=""mw-headline"" id=""Infancy_and_Death"">Infancy and Death</span><span class=""editsection""><a href=""/wiki/Emily_Russell?action=edit&amp;section=3"" title=""Edit Infancy and Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>After birth, Burke used a catheter to open Emily\'s atrial septum. Then they planned a surgery to reconstruct the left side of her heart. In surgery, they found that her aorta was narrower than they thought, so they closed without doing anything. Addison decided to use her as a teaching tool for Izzie, so she told Izzie to keep Emily alive overnight, lying that Burke thought she had a chance if she could make it through the next ten hours. Despite Izzie\'s efforts, Emily died early the next morning. <i>(""<a href=""/wiki/Owner_of_a_Lonely_Heart"" title=""Owner of a Lonely Heart"">Owner of a Lonely Heart</a>"")</i>\n</p>\n<h2><span class=""mw-headline"" id=""Relationships"">Relationships</span><span class=""editsection""><a href=""/wiki/Emily_Russell?action=edit&amp;section=4"" title=""Edit Relationships section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h2>\n<h3><span class=""mw-headline"" id=""Familial"">Familial</span><span class=""editsection""><a href=""/wiki/Emily_Russell?action=edit&amp;section=5"" title=""Edit Familial section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>She is part of a set of quintuplets. Their parents also have a set of triplets.\n</p>']","['Surgery', 'NICU Care']",No actor listed.,multiple,['S-2-EP-11'],Much_too_Much,Much too Much,Owner_of_a_Lonely_Heart,Owner of a Lonely Heart,['2']
124,Ruthie Sales,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/7/71/404RuthieSales.png/revision/latest/scale-to-width-down/350?cb=20130427184241,patient,"['Crushed ankle', 'Osteoporosis', 'Bleeding duodenal ulcer']",[],"['Ipubrofen', 'Surgery']",Maggie Siff,single,['S-4-EP-4'],The_Heart_of_the_Matter,The Heart of the Matter,The_Heart_of_the_Matter,The Heart of the Matter,['4']
125,Tony Savitch,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/8/8b/101TonySavitch.png/revision/latest/scale-to-width-down/350?cb=20130311012316,patient,['No diagnosis available'],[],"['Coronary artery bypass surgery', 'Attempted resuscitation']",David Vegh,single,['S-1-EP-1'],A_Hard_Day%27s_Night,A Hard Day's Night,A_Hard_Day%27s_Night,A Hard Day's Night,['1']
126,Erin Shandley,mostly_female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/6/61/4x05-18.jpg/revision/latest/scale-to-width-down/350?cb=20140501101743,patient,['Brain death'],[],['Organ harvesting'],Bhama Roget,single,['S-4-EP-5'],Haunt_You_Every_Day,Haunt You Every Day,Haunt_You_Every_Day,Haunt You Every Day,['4']
127,Derek Shepherd,male,major,https://vignette.wikia.nocookie.net/greysanatomy/images/f/fb/11x21-4.jpg/revision/latest/scale-to-width-down/335?cb=20150423224437,attending,['No diagnosis available'],"['<h3><span class=""mw-headline"" id=""Death"">Death</span><span class=""editsection""><a href=""/wiki/Derek_Shepherd?action=edit&amp;section=11"" title=""Edit Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<figure class=""article-thumb tright show-info-icon"" style=""width: 220px""> \t<a href=""https://vignette.wikia.nocookie.net/greysanatomy/images/e/ed/Meredithsayinggoodbyetoderek.jpg/revision/latest?cb=20170227233838"" \tclass=""image image-thumbnail"" \t \t \t><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" \t alt=""Meredithsayinggoodbyetoderek""  \tclass=""thumbimage lzy lzyPlcHld "" \t \tdata-image-key=""Meredithsayinggoodbyetoderek.jpg"" \tdata-image-name=""Meredithsayinggoodbyetoderek.jpg"" \t data-src=""https://vignette.wikia.nocookie.net/greysanatomy/images/e/ed/Meredithsayinggoodbyetoderek.jpg/revision/latest/scale-to-width-down/220?cb=20170227233838""  \t width=""220""  \t height=""123""  \t \t \t onload=""if(typeof ImgLzy===&#39;object&#39;){ImgLzy.load(this)}""  \t><noscript><img src=""https://vignette.wikia.nocookie.net/greysanatomy/images/e/ed/Meredithsayinggoodbyetoderek.jpg/revision/latest/scale-to-width-down/220?cb=20170227233838"" \t alt=""Meredithsayinggoodbyetoderek""  \tclass=""thumbimage "" \t \tdata-image-key=""Meredithsayinggoodbyetoderek.jpg"" \tdata-image-name=""Meredithsayinggoodbyetoderek.jpg"" \t \t width=""220""  \t height=""123""  \t \t \t \t></noscript></a>  \t<figcaption> \t\t \t\t\t<a href=""/wiki/File:Meredithsayinggoodbyetoderek.jpg"" class=""sprite info-icon""></a> \t\t \t\t \t\t \t\t\t<p class=""caption"">Meredith says her last goodbye to Derek.</p> \t\t \t</figcaption> </figure>\n<p>Not long after his return home, Derek was on his way to the airport for one last trip to D.C. when he witnessed a car crash on a remote road. He immediately leaped into action, saving four people from the wreckage before the emergency officials arrived to take the patients to Dillard Medical Center. Derek returned to his car and began to pull out to turn around when his phone suddenly rang. Leaving the car sideways in the middle of the road, he began reaching for the phone, not noticing an approaching semi, which crashed into the side of his car. Derek was then taken to Dillard where the doctors began examining him. Conscious but unable to speak, he knew that he needed a head CT, and begged in his mind for the doctors to also realize this, but to no avail. Derek was rushed to the OR , but by the time the doctors figured out what was going on and managed to bring in a neurosurgeon (whom they had to wait for over an hour after paging him), it was already too late and Derek was pronounced brain dead. Not long after, Meredith, whom the police have brought to the hospital, signed the papers to take him off life-support. She then sat with him as he died, holding his chest and telling him ""You can go"" as he let out his last breath. Interestingly, he continued to narrate in his mind up to almost the very end, even after losing consciousness (and possibly all brain function) -- at one point saying to the attending physicians ""It\'s too late."" ""You\'re too late."" We are left with the feeling that at some point an ethereal consciousness had taken over where his physical brain was no longer capable.\n</p>']",['No treatment available'],Patrick Dempsey,multiple,"['S-1-EP-1', 'S-1-EP-4', 'S-1-EP-7', 'S-1-EP-2', 'S-1-EP-5', 'S-1-EP-8', 'S-1-EP-3', 'S-1-EP-6', 'S-1-EP-9', 'S-2-EP-1', 'S-2-EP-10', 'S-2-EP-19', 'S-2-EP-2', 'S-2-EP-11', 'S-2-EP-20', 'S-2-EP-3', 'S-2-EP-12', 'S-2-EP-21', 'S-2-EP-4', 'S-2-EP-13', 'S-2-EP-22', 'S-2-EP-5', 'S-2-EP-14', 'S-2-EP-23', 'S-2-EP-6', 'S-2-EP-15', 'S-2-EP-24', 'S-2-EP-7', 'S-2-EP-16', 'S-2-EP-25', 'S-2-EP-8', 'S-2-EP-17', 'S-2-EP-26', 'S-2-EP-9', 'S-2-EP-18', 'S-2-EP-27', 'S-3-EP-1', 'S-3-EP-10', 'S-3-EP-19', 'S-3-EP-2', 'S-3-EP-11', 'S-3-EP-20', 'S-3-EP-3', 'S-3-EP-12', 'S-3-EP-21', 'S-3-EP-4', 'S-3-EP-13', 'S-3-EP-22', 'S-3-EP-5', 'S-3-EP-14', 'S-3-EP-23', 'S-3-EP-6', 'S-3-EP-15', 'S-3-EP-24', 'S-3-EP-7', 'S-3-EP-16', 'S-3-EP-25', 'S-3-EP-8', 'S-3-EP-17', 'S-3-EP-9', 'S-3-EP-18', 'S-4-EP-1', 'S-4-EP-7', 'S-4-EP-13', 'S-4-EP-2', 'S-4-EP-8', 'S-4-EP-14', 'S-4-EP-3', 'S-4-EP-9', 'S-4-EP-15', 'S-4-EP-4', 'S-4-EP-10', 'S-4-EP-16', 'S-4-EP-5', 'S-4-EP-11', 'S-4-EP-17', 'S-4-EP-6', 'S-4-EP-12', 'S-5-EP-1', 'S-5-EP-9', 'S-5-EP-17', 'S-5-EP-2', 'S-5-EP-10', 'S-5-EP-18', 'S-5-EP-3', 'S-5-EP-11', 'S-5-EP-19', 'S-5-EP-4', 'S-5-EP-12', 'S-5-EP-20', 'S-5-EP-5', 'S-5-EP-13', 'S-5-EP-21', 'S-5-EP-6', 'S-5-EP-14', 'S-5-EP-22', 'S-5-EP-7', 'S-5-EP-15', 'S-5-EP-23', 'S-5-EP-8', 'S-5-EP-16', 'S-5-EP-24', 'S-6-EP-1', 'S-6-EP-9', 'S-6-EP-17', 'S-6-EP-2', 'S-6-EP-10', 'S-6-EP-18', 'S-6-EP-3', 'S-6-EP-11', 'S-6-EP-19', 'S-6-EP-4', 'S-6-EP-12', 'S-6-EP-20', 'S-6-EP-5', 'S-6-EP-13', 'S-6-EP-21', 'S-6-EP-6', 'S-6-EP-14', 'S-6-EP-22', 'S-6-EP-7', 'S-6-EP-15', 'S-6-EP-23', 'S-6-EP-8', 'S-6-EP-16', 'S-6-EP-24', 'S-7-EP-1', 'S-7-EP-9', 'S-7-EP-17', 'S-7-EP-2', 'S-7-EP-10', 'S-7-EP-18', 'S-7-EP-3', 'S-7-EP-11', 'S-7-EP-19', 'S-7-EP-4', 'S-7-EP-12', 'S-7-EP-20', 'S-7-EP-5', 'S-7-EP-13', 'S-7-EP-21', 'S-7-EP-6', 'S-7-EP-14', 'S-7-EP-22', 'S-7-EP-7', 'S-7-EP-15', 'S-7-EP-8', 'S-7-EP-16', 'S-8-EP-1', 'S-8-EP-9', 'S-8-EP-17', 'S-8-EP-2', 'S-8-EP-10', 'S-8-EP-18', 'S-8-EP-3', 'S-8-EP-11', 'S-8-EP-19', 'S-8-EP-4', 'S-8-EP-12', 'S-8-EP-20', 'S-8-EP-5', 'S-8-EP-13', 'S-8-EP-21', 'S-8-EP-6', 'S-8-EP-14', 'S-8-EP-22', 'S-8-EP-7', 'S-8-EP-15', 'S-8-EP-23', 'S-8-EP-8', 'S-8-EP-16', 'S-8-EP-24', 'S-9-EP-1', 'S-9-EP-9', 'S-9-EP-17', 'S-9-EP-2', 'S-9-EP-10', 'S-9-EP-18', 'S-9-EP-3', 'S-9-EP-11', 'S-9-EP-19', 'S-9-EP-4', 'S-9-EP-12', 'S-9-EP-20', 'S-9-EP-5', 'S-9-EP-13', 'S-9-EP-21', 'S-9-EP-6', 'S-9-EP-14', 'S-9-EP-22', 'S-9-EP-7', 'S-9-EP-15', 'S-9-EP-23', 'S-9-EP-8', 'S-9-EP-16', 'S-9-EP-24', 'S-10-EP-1', 'S-10-EP-9', 'S-10-EP-17', 'S-10-EP-2', 'S-10-EP-10', 'S-10-EP-18', 'S-10-EP-3', 'S-10-EP-11', 'S-10-EP-19', 'S-10-EP-4', 'S-10-EP-12', 'S-10-EP-20', 'S-10-EP-5', 'S-10-EP-13', 'S-10-EP-21', 'S-10-EP-6', 'S-10-EP-14', 'S-10-EP-22', 'S-10-EP-7', 'S-10-EP-15', 'S-10-EP-23', 'S-10-EP-8', 'S-10-EP-16', 'S-10-EP-24', 'S-11-EP-1', 'S-11-EP-9', 'S-11-EP-17', 'S-11-EP-2', 'S-11-EP-18', 'S-11-EP-3', 'S-11-EP-19', 'S-11-EP-4', 'S-11-EP-20', 'S-11-EP-5', 'S-11-EP-21', 'S-11-EP-6', 'S-11-EP-22', 'S-11-EP-7', 'S-11-EP-8', 'S-11-EP-16', 'S-11-EP-24', 'S-2-EP-16', 'S-5-EP-15', 'S-5-EP-8', 'S-1-EP-1', 'S-11-EP-24']",A_Hard_Day%27s_Night,A Hard Day's Night,You%27re_My_Home,You're My Home,"['1', '2', '3', '4', '5', '6', '7', '8', '9', '10', '11']"
128,Mr. Shepherd,andy,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/b/ba/PP5x08Mr.Shepherd.png/revision/latest/scale-to-width-down/350?cb=20140126224842,family,['No diagnosis available'],"['<h3><span class=""mw-headline"" id=""After_His_Death"">After His Death</span><span class=""editsection""><a href=""/wiki/Mr._Shepherd?action=edit&amp;section=4"" title=""Edit After His Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>Years later, his death is still difficult for his family. His wife always sleeps on her side of the bed, even though the mattress is extremely uneven. Derek hates murderers and had difficulty dealing when one was a patient, as he was still very angry about his dad\'s death. Amelia has problems with drugs which are related to her father\'s death. <i>(""<a href=""/wiki/Sympathy_for_the_Devil"" title=""Sympathy for the Devil"">Sympathy for the Devil</a>"")</i>\n</p><p>After his death, Amelia was afraid of all loud noises. To get over this fear, she bought firecrackers and set them off until she wasn\'t afraid anymore. <i>(""<a href=""/wiki/You_Break_My_Heart"" title=""You Break My Heart"">You Break My Heart</a>"")</i>\n</p>']",['No treatment available'],Brice Williams,single,['S-5-EP-8'],Who_We_Are,Who We Are,Who_We_Are,Who We Are,[]
129,Lenny Shulte,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/5/5a/10x01LennyShulte.png/revision/latest/scale-to-width-down/350?cb=20130928174810,patient,"['Mud aspiration', 'Decreased breath sounds', 'Tachypnea', 'Diaphragmatic rupture']",[],"['Chest tube', 'Surgery']",Josh Clark,single,['S-10-EP-1'],Seal_Our_Fate,Seal Our Fate,Seal_Our_Fate,Seal Our Fate,['10']
130,David Simons,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/9/92/522David.png/revision/latest/scale-to-width-down/350?cb=20130526031116,patient,"['Chest contusion', 'Cardiac contusion']",[],['No treatment available'],Trent Gill,single,['S-5-EP-22'],What_a_Difference_a_Day_Makes,What a Difference a Day Makes,What_a_Difference_a_Day_Makes,What a Difference a Day Makes,['5']
131,"""Cosmo"" Singh",andy,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/4/4a/12x18BabyMcKay.png/revision/latest/scale-to-width-down/350?cb=20160416085052,patient,"['Prematurity', 'Respiratory failure']",[],['ECMO'],No actor listed.,single,['S-12-EP-18'],"There%27s_a_Fine,_Fine_Line","There's a Fine, Fine Line","There%27s_a_Fine,_Fine_Line","There's a Fine, Fine Line",['12']
132,Mark Sloan,male,major,https://vignette.wikia.nocookie.net/greysanatomy/images/7/7a/9x02-20.jpg/revision/latest/scale-to-width-down/350?cb=20160413120146,attending,['No diagnosis available'],"['<h3><span class=""mw-headline"" id=""Plane_Crash_and_Death"">Plane Crash and Death</span><span class=""editsection""><a href=""/wiki/Mark_Sloan?action=edit&amp;section=11"" title=""Edit Plane Crash and Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>In 2012, while traveling to Boise, Idaho to perform a separation surgery of conjoined twins, Mark was in a <a href=""/wiki/Flight"" title=""Flight"">plane crash</a>. He, along with Meredith, Lexie, Cristina, Arizona, and Derek became stranded in the woods. Mark seemed to have escaped with only minor injuries at first, though after the death of Lexie, he became unresponsive. Cristina examined his chest to find major bruising. Cristina realized that he had a cardiac tamponade, fluid surrounding his heart. Meredith used a tube from a bottle that Derek and Cristina found to drain the fluid. Cristina, Meredith, and Derek were able to get Mark to the front of the plane where Arizona and the pilot were. Mark woke up and told Arizona that Lexie was dead, and that she was waiting for him. Mark tried to tell Arizona he would be okay when he died, but she told him that she, Sofia, and Callie were waiting for him, too.<sup id=""cite_ref-6"" class=""reference""><a href=""#cite_note-6"">[7]</a></sup>\n</p><p>Mark was airlifted to Idaho, then sedated and moved to Seattle Grace Mercy West. He spent two months declining until he woke up briefly. After that day, he fell into a coma. After thirty days, they turned the life support machines off and Derek and Callie sat with him while he died.<sup id=""cite_ref-7"" class=""reference""><a href=""#cite_note-7"">[8]</a></sup>\n</p>']",['No treatment available'],Eric Dane,multiple,"['S-2-EP-18', 'S-3-EP-10', 'S-3-EP-19', 'S-3-EP-2', 'S-3-EP-11', 'S-3-EP-20', 'S-3-EP-3', 'S-3-EP-12', 'S-3-EP-21', 'S-3-EP-4', 'S-3-EP-13', 'S-3-EP-22', 'S-3-EP-5', 'S-3-EP-14', 'S-3-EP-6', 'S-3-EP-15', 'S-3-EP-24', 'S-3-EP-7', 'S-3-EP-16', 'S-3-EP-25', 'S-3-EP-8', 'S-3-EP-17', 'S-3-EP-9', 'S-3-EP-18', 'S-4-EP-1', 'S-4-EP-7', 'S-4-EP-13', 'S-4-EP-2', 'S-4-EP-8', 'S-4-EP-14', 'S-4-EP-3', 'S-4-EP-9', 'S-4-EP-15', 'S-4-EP-4', 'S-4-EP-10', 'S-4-EP-16', 'S-4-EP-5', 'S-4-EP-11', 'S-4-EP-17', 'S-4-EP-6', 'S-4-EP-12', 'S-5-EP-1', 'S-5-EP-9', 'S-5-EP-17', 'S-5-EP-2', 'S-5-EP-10', 'S-5-EP-18', 'S-5-EP-3', 'S-5-EP-11', 'S-5-EP-19', 'S-5-EP-4', 'S-5-EP-12', 'S-5-EP-20', 'S-5-EP-5', 'S-5-EP-13', 'S-5-EP-21', 'S-5-EP-6', 'S-5-EP-14', 'S-5-EP-22', 'S-5-EP-7', 'S-5-EP-15', 'S-5-EP-23', 'S-5-EP-8', 'S-5-EP-16', 'S-5-EP-24', 'S-6-EP-1', 'S-6-EP-9', 'S-6-EP-17', 'S-6-EP-2', 'S-6-EP-10', 'S-6-EP-18', 'S-6-EP-3', 'S-6-EP-11', 'S-6-EP-19', 'S-6-EP-4', 'S-6-EP-12', 'S-6-EP-20', 'S-6-EP-13', 'S-6-EP-21', 'S-6-EP-6', 'S-6-EP-14', 'S-6-EP-22', 'S-6-EP-7', 'S-6-EP-23', 'S-6-EP-8', 'S-6-EP-16', 'S-6-EP-24', 'S-7-EP-1', 'S-7-EP-9', 'S-7-EP-17', 'S-7-EP-2', 'S-7-EP-10', 'S-7-EP-18', 'S-7-EP-3', 'S-7-EP-11', 'S-7-EP-19', 'S-7-EP-4', 'S-7-EP-12', 'S-7-EP-20', 'S-7-EP-5', 'S-7-EP-13', 'S-7-EP-21', 'S-7-EP-6', 'S-7-EP-14', 'S-7-EP-22', 'S-7-EP-7', 'S-7-EP-15', 'S-7-EP-8', 'S-7-EP-16', 'S-8-EP-1', 'S-8-EP-9', 'S-8-EP-17', 'S-8-EP-2', 'S-8-EP-10', 'S-8-EP-18', 'S-8-EP-3', 'S-8-EP-11', 'S-8-EP-19', 'S-8-EP-4', 'S-8-EP-12', 'S-8-EP-20', 'S-8-EP-5', 'S-8-EP-13', 'S-8-EP-21', 'S-8-EP-6', 'S-8-EP-14', 'S-8-EP-22', 'S-8-EP-7', 'S-8-EP-15', 'S-8-EP-23', 'S-8-EP-8', 'S-8-EP-16', 'S-8-EP-24', 'S-9-EP-1', 'S-9-EP-2', 'S-2-EP-16', 'S-3-EP-11', 'S-2-EP-18', 'S-9-EP-2']",Yesterday,Yesterday,Remember_the_Time,Remember the Time,"['2', '3', '4', '5', '6', '7', '8', '9']"
133,Jessica Smithson,female,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/c/c2/5x20-30.jpg/revision/latest/scale-to-width-down/333?cb=20150502233049,patient,"['Tay-Sachs', 'Seizure']",[],['Supplemental oxygen'],Mary-Charles Jones,single,['S-5-EP-20'],Sweet_Surrender,Sweet Surrender,Sweet_Surrender,Sweet Surrender,['5']
135,Edward Squire,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/1/1e/12x04EddieSquire.png/revision/latest/scale-to-width-down/350?cb=20151017113514,patient,"['High blood pressure', 'Diabetes', 'Arthritis', 'High cholesterol', 'Erectile dysfunction', 'Scalp laceration', 'Myocardial infarction']",[],"['Thiazide', 'Metformin', 'Baby aspirin', 'ED meds', 'Nitroglycerin', 'Stitches']",Al White,single,['S-12-EP-4'],Old_Time_Rock_and_Roll,Old Time Rock and Roll,Old_Time_Rock_and_Roll,Old Time Rock and Roll,['12']
136,Paul Stadler,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/0/0c/14x09-12.jpg/revision/latest/scale-to-width-down/334?cb=20180103022926,attending,['No diagnosis available'],[],['No treatment available'],Matthew Morrison,multiple,"['S-13-EP-23', 'S-14-EP-9', 'S-14-EP-10', 'S-14-EP-8', 'S-14-EP-10']",True_Colors_(Grey%27s_Anatomy),True Colors (Grey's Anatomy),Personal_Jesus,Personal Jesus,"['13', '14']"
137,Eric Sterling,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/d/d2/14x10-7.jpg/revision/latest/scale-to-width-down/350?cb=20180110233154,patient,"['Gun shot wound', 'Severed carotid artery']",[],"['IV antibiotics', 'Surgery']",Kai Chamar Williams,single,['S-14-EP-10'],Personal_Jesus,Personal Jesus,Personal_Jesus,Personal Jesus,['14']
138,Jeremiah Tate,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/8/8d/204JeremiahTate.png/revision/latest/scale-to-width-down/350?cb=20130404045646,patient,"['Cystic fibrosis', 'Pancreatitis', 'Mass']","['<h3><span class=""mw-headline"" id=""Hospitalization_and_Death"">Hospitalization and Death</span><span class=""editsection""><a href=""/wiki/Jeremiah_Tate?action=edit&amp;section=3"" title=""Edit Hospitalization and Death section""><img src=""data:image/gif;base64,R0lGODlhAQABAIABAAAAAP///yH5BAEAAAEALAAAAAABAAEAQAICTAEAOw%3D%3D"" class=""sprite edit-pencil"" />Edit</a></span></h3>\n<p>Jeremiah came into the hospital because he\'d been in a lot of pain and had had a few seizures. He believed it was his pancreatitis flaring up again. Scans revealed that he needed an exploratory laparotomy, but his lungs made Bailey hesitant to cut. She consulted with Addison, who said she might have a way to help. They went to Jeremiah and presented their plan to him. He agreed to the surgery and wanted to call his parents, whom he always refused to call until he was better again. Bailey talked him out of it, saying he\'d be fine.\n</p><p>They took him into surgery, but he was already not doing well. He had no urine output. He started coding and Bailey started CPR, despite his DNR. Meredith convinced Bailey to let her take over when she was getting tired while Addison tried to convince Bailey that Jeremiah wasn\'t coming back. He was pronounced dead in the OR. After his death, Bailey called his parents.\n</p>']","['Exploratory laparotomy', 'Pancreatectomy']",Thomas Ian Nicholas,single,['S-2-EP-4'],"Deny,_Deny,_Deny","Deny, Deny, Deny","Deny,_Deny,_Deny","Deny, Deny, Deny",['2']
139,Steve Tate,male,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/f/fd/11x03SteveTate.png/revision/latest/scale-to-width-down/350?cb=20141012080229,patient,"['Depressed skull fracture', 'Subdural bleed', 'Aneurysm', 'Brain death']",[],"['Surgery', 'Aneurysm clipping']",Shawn-Caulin Young,single,['S-11-EP-3'],Got_to_Be_Real,Got to Be Real,Got_to_Be_Real,Got to Be Real,['11']
140,Karin Taylor,andy,minor,https://vignette.wikia.nocookie.net/greysanatomy/images/6/67/14x10KarinTaylor.png/revision/latest/scale-to-width-down/350?cb=20180126221255,patient,"['Pregnancy', 'Vulvar hematoma', 'DIC', 'HELLP Syndrome']",[],"['Vaginal delivery', 'Drainage', 'Surgery', 'Hysterectomy']",Collette Wolfe,single,['S-14-EP-10'],Personal_Jesus,Personal Jesus,Personal_Jesus,Personal Jesus,['14']
